Timestamp, P1rms (A), P2rms (A), P3rms (A), P4rms (A), P5rms (A), Vrms (V), P1 theta, P2 theta, P3 theta, P4 theta, P5 theta
Mon Sep 30 00:00:00 2013, 128, 128, 180, 177, 192, 43, 7, 7, 8, 8, 48
Mon Sep 30 00:00:01 2013, 127, 127, 182, 178, 193, 43, 8, 8, 8, 8, 49
Mon Sep 30 00:00:02 2013, 125, 125, 190, 186, 200, 43, 8, 8, 8, 7, 50
Mon Sep 30 00:00:03 2013, 125, 126, 184, 181, 196, 43, 8, 8, 8, 8, 49
Mon Sep 30 00:00:04 2013, 125, 125, 192, 188, 204, 43, 11, 11, 11, 11, 51
Mon Sep 30 00:00:05 2013, 123, 124, 198, 193, 208, 43, 8, 8, 8, 8, 53
Mon Sep 30 00:00:06 2013, 133, 146, 157, 163, 196, 43, 17, 17, 20, 19, 48
Mon Sep 30 00:00:07 2013, 123, 123, 200, 197, 212, 43, 8, 8, 6, 6, 52
Mon Sep 30 00:00:08 2013, 122, 122, 203, 200, 217, 43, 8, 8, 6, 5, 55
Mon Sep 30 00:00:09 2013, 125, 141, 164, 187, 209, 43, 8, 9, 12, 8, 53
Mon Sep 30 00:00:10 2013, 144, 146, 150, 153, 149, 43, 8, 8, 13, 13, 36
Mon Sep 30 00:00:11 2013, 132, 131, 177, 170, 149, 43, 8, 8, 8, 8, 37
Mon Sep 30 00:00:12 2013, 121, 121, 199, 195, 211, 43, 8, 8, 6, 5, 52
Mon Sep 30 00:00:13 2013, 121, 121, 209, 203, 220, 43, 8, 8, 38, 39, 55
Mon Sep 30 00:00:14 2013, 122, 122, 202, 196, 213, 43, 8, 7, 6, 5, 53
Mon Sep 30 00:00:15 2013, 123, 126, 159, 207, 220, 43, 8, 8, 11, 7, 54
Mon Sep 30 00:00:16 2013, 141, 144, 146, 146, 148, 43, 8, 9, 12, 12, 37
Mon Sep 30 00:00:17 2013, 140, 139, 145, 146, 145, 43, 8, 8, 12, 12, 37
Mon Sep 30 00:00:18 2013, 123, 122, 206, 201, 216, 43, 8, 8, 39, 40, 55
Mon Sep 30 00:00:19 2013, 127, 127, 175, 170, 183, 43, 9, 9, 10, 10, 45
Mon Sep 30 00:00:20 2013, 131, 123, 199, 198, 198, 43, 10, 10, 9, 7, 48
Mon Sep 30 00:00:21 2013, 139, 141, 145, 144, 148, 43, 8, 8, 11, 11, 36
Mon Sep 30 00:00:22 2013, 138, 139, 145, 147, 153, 43, 8, 8, 12, 12, 38
Mon Sep 30 00:00:23 2013, 127, 125, 203, 196, 211, 43, 3, 2, 5, 5, 53
